algorithm,phase,size_label,size_value,input_label,input_size_bytes,run,time_s,peak_memory_bytes,ciphertext_bytes
Knapsack,keygen,key_bits,8,-,0,0,5.958399999972386e-05,2540,
Knapsack,keygen,key_bits,8,-,0,1,2.904199999997914e-05,756,
Knapsack,keygen,key_bits,8,-,0,2,2.670800000004192e-05,644,
Knapsack,keygen,key_bits,8,-,0,3,2.7042000000143673e-05,724,
Knapsack,keygen,key_bits,8,-,0,4,2.329199999984155e-05,528,
Knapsack,keygen,key_bits,8,-,0,5,2.429199999998133e-05,612,
Knapsack,keygen,key_bits,8,-,0,6,3.449999999993736e-05,584,
Knapsack,keygen,key_bits,8,-,0,7,2.254099999987602e-05,556,
Knapsack,keygen,key_bits,8,-,0,8,2.4792000000051218e-05,584,
Knapsack,keygen,key_bits,8,-,0,9,2.562499999969603e-05,640,
Knapsack,encrypt,key_bits,8,text_1KB,1024,0,0.002526167000000079,38524,2009
Knapsack,decrypt,key_bits,8,text_1KB,1024,0,0.0037577920000000375,133308,
Knapsack,encrypt,key_bits,8,text_1KB,1024,1,0.0012661249999998958,37072,2009
Knapsack,decrypt,key_bits,8,text_1KB,1024,1,0.0017285409999998613,132140,
Knapsack,encrypt,key_bits,8,text_1KB,1024,2,0.0012352909999999717,37072,2009
Knapsack,decrypt,key_bits,8,text_1KB,1024,2,0.0014754579999998185,127716,
Knapsack,encrypt,key_bits,8,text_1KB,1024,3,0.0011897910000002732,37072,2009
Knapsack,decrypt,key_bits,8,text_1KB,1024,3,0.0014974169999999454,127716,
Knapsack,encrypt,key_bits,8,text_1KB,1024,4,0.0012577920000000908,37072,2009
Knapsack,decrypt,key_bits,8,text_1KB,1024,4,0.0015320409999999285,127716,
Knapsack,encrypt,key_bits,8,text_1KB,1024,5,0.0012452499999997535,37072,2009
Knapsack,decrypt,key_bits,8,text_1KB,1024,5,0.0015689999999999316,127716,
Knapsack,encrypt,key_bits,8,text_1KB,1024,6,0.0012249170000000476,37072,2009
Knapsack,decrypt,key_bits,8,text_1KB,1024,6,0.0015656670000003814,127716,
Knapsack,encrypt,key_bits,8,text_1KB,1024,7,0.0012878339999997657,37072,2009
Knapsack,decrypt,key_bits,8,text_1KB,1024,7,0.0015725420000003432,127716,
Knapsack,encrypt,key_bits,8,text_1KB,1024,8,0.0013179999999999303,37072,2009
Knapsack,decrypt,key_bits,8,text_1KB,1024,8,0.0015806669999998135,127716,
Knapsack,encrypt,key_bits,8,text_1KB,1024,9,0.0013470829999997491,37072,2009
Knapsack,decrypt,key_bits,8,text_1KB,1024,9,0.001629625000000079,127716,
Knapsack,encrypt,key_bits,8,image_50KB,20480,0,0.02529866699999994,726624,40166
Knapsack,decrypt,key_bits,8,image_50KB,20480,0,0.028722875000000148,2626568,
Knapsack,encrypt,key_bits,8,image_50KB,20480,1,0.023291583000000227,726624,40166
Knapsack,decrypt,key_bits,8,image_50KB,20480,1,0.037533291999999996,2626624,
Knapsack,encrypt,key_bits,8,image_50KB,20480,2,0.023863332999999987,726736,40166
Knapsack,decrypt,key_bits,8,image_50KB,20480,2,0.02948525000000002,2626568,
Knapsack,encrypt,key_bits,8,image_50KB,20480,3,0.023156666999999853,726624,40166
Knapsack,decrypt,key_bits,8,image_50KB,20480,3,0.029024209000000134,2626568,
Knapsack,encrypt,key_bits,8,image_50KB,20480,4,0.023067458999999957,726624,40166
Knapsack,decrypt,key_bits,8,image_50KB,20480,4,0.029611667000000175,2626568,
Knapsack,encrypt,key_bits,8,image_50KB,20480,5,0.023285250000000257,726624,40166
Knapsack,decrypt,key_bits,8,image_50KB,20480,5,0.02945570799999997,2626568,
Knapsack,encrypt,key_bits,8,image_50KB,20480,6,0.02320037500000005,726624,40166
Knapsack,decrypt,key_bits,8,image_50KB,20480,6,0.03742254200000028,2626624,
Knapsack,encrypt,key_bits,8,image_50KB,20480,7,0.02361570899999954,726736,40166
Knapsack,decrypt,key_bits,8,image_50KB,20480,7,0.028981082999999686,2626568,
Knapsack,encrypt,key_bits,8,image_50KB,20480,8,0.023369541000000105,726624,40166
Knapsack,decrypt,key_bits,8,image_50KB,20480,8,0.029487083000000247,2626568,
Knapsack,encrypt,key_bits,8,image_50KB,20480,9,0.023135207999999352,726624,40166
Knapsack,decrypt,key_bits,8,image_50KB,20480,9,0.030040291999999802,2626568,
Knapsack,encrypt,key_bits,8,audio_200KB,20480,0,0.02335870799999995,727156,40176
Knapsack,decrypt,key_bits,8,audio_200KB,20480,0,0.03707808299999993,2626652,
Knapsack,encrypt,key_bits,8,audio_200KB,20480,1,0.023962875000000494,727268,40176
Knapsack,decrypt,key_bits,8,audio_200KB,20480,1,0.028809875000000318,2626596,
Knapsack,encrypt,key_bits,8,audio_200KB,20480,2,0.023109500000000338,727156,40176
Knapsack,decrypt,key_bits,8,audio_200KB,20480,2,0.028900207999999594,2626596,
Knapsack,encrypt,key_bits,8,audio_200KB,20480,3,0.022962291999999884,727156,40176
Knapsack,decrypt,key_bits,8,audio_200KB,20480,3,0.028796916000000117,2626596,
Knapsack,encrypt,key_bits,8,audio_200KB,20480,4,0.022965082999999886,727156,40176
Knapsack,decrypt,key_bits,8,audio_200KB,20480,4,0.03661070900000052,2626652,
Knapsack,encrypt,key_bits,8,audio_200KB,20480,5,0.023785958000000385,727268,40176
Knapsack,decrypt,key_bits,8,audio_200KB,20480,5,0.028760540999999584,2626596,
Knapsack,encrypt,key_bits,8,audio_200KB,20480,6,0.02301441699999973,727156,40176
Knapsack,decrypt,key_bits,8,audio_200KB,20480,6,0.0292479590000001,2626596,
Knapsack,encrypt,key_bits,8,audio_200KB,20480,7,0.0233263749999999,727156,40176
Knapsack,decrypt,key_bits,8,audio_200KB,20480,7,0.029248166999999547,2626596,
Knapsack,encrypt,key_bits,8,audio_200KB,20480,8,0.02316370799999934,727156,40176
Knapsack,decrypt,key_bits,8,audio_200KB,20480,8,0.029274291999999313,2626596,
Knapsack,encrypt,key_bits,8,audio_200KB,20480,9,0.022978000000000165,727156,40176
Knapsack,decrypt,key_bits,8,audio_200KB,20480,9,0.03677083300000028,2626652,
Knapsack,encrypt,key_bits,8,video_1MB,20480,0,0.025264125000000526,726876,40156
Knapsack,decrypt,key_bits,8,video_1MB,20480,0,0.030283874999999405,2626568,
Knapsack,encrypt,key_bits,8,video_1MB,20480,1,0.023675542000000327,726764,40156
Knapsack,decrypt,key_bits,8,video_1MB,20480,1,0.028922541000000024,2626568,
Knapsack,encrypt,key_bits,8,video_1MB,20480,2,0.023611791999999632,726764,40156
Knapsack,decrypt,key_bits,8,video_1MB,20480,2,0.038664208000000144,2626624,
Knapsack,encrypt,key_bits,8,video_1MB,20480,3,0.024509709000000157,726876,40156
Knapsack,decrypt,key_bits,8,video_1MB,20480,3,0.028977750000000135,2626568,
Knapsack,encrypt,key_bits,8,video_1MB,20480,4,0.023184582999999925,726764,40156
Knapsack,decrypt,key_bits,8,video_1MB,20480,4,0.028818082999999994,2626568,
Knapsack,encrypt,key_bits,8,video_1MB,20480,5,0.02326891599999925,726764,40156
Knapsack,decrypt,key_bits,8,video_1MB,20480,5,0.02870316700000064,2626568,
Knapsack,encrypt,key_bits,8,video_1MB,20480,6,0.02310045900000013,726764,40156
Knapsack,decrypt,key_bits,8,video_1MB,20480,6,0.02853249999999985,2626568,
Knapsack,encrypt,key_bits,8,video_1MB,20480,7,0.023701832999999617,726764,40156
Knapsack,decrypt,key_bits,8,video_1MB,20480,7,0.03783866699999994,2626624,
Knapsack,encrypt,key_bits,8,video_1MB,20480,8,0.024582458999999446,726876,40156
Knapsack,decrypt,key_bits,8,video_1MB,20480,8,0.030222374999999246,2626568,
Knapsack,encrypt,key_bits,8,video_1MB,20480,9,0.023798124999999892,726764,40156
Knapsack,decrypt,key_bits,8,video_1MB,20480,9,0.030436250000000165,2626568,
Knapsack,keygen,key_bits,16,-,0,0,4.954200000018005e-05,1392,
Knapsack,keygen,key_bits,16,-,0,1,3.4124999999995964e-05,1364,
Knapsack,keygen,key_bits,16,-,0,2,2.6249999999450324e-05,1364,
Knapsack,keygen,key_bits,16,-,0,3,2.650000000059549e-05,1364,
Knapsack,keygen,key_bits,16,-,0,4,2.6458999999867672e-05,1392,
Knapsack,keygen,key_bits,16,-,0,5,2.8458000000064487e-05,1328,
Knapsack,keygen,key_bits,16,-,0,6,3.1250000000149214e-05,1336,
Knapsack,keygen,key_bits,16,-,0,7,2.3250000000807347e-05,1328,
Knapsack,keygen,key_bits,16,-,0,8,3.212499999971641e-05,1392,
Knapsack,keygen,key_bits,16,-,0,9,2.3500000000176158e-05,1364,
Knapsack,encrypt,key_bits,16,text_1KB,1024,0,0.000963417000000355,19076,1536
Knapsack,decrypt,key_bits,16,text_1KB,1024,0,0.0019672090000000253,94404,
Knapsack,encrypt,key_bits,16,text_1KB,1024,1,0.000673792000000617,19076,1536
Knapsack,decrypt,key_bits,16,text_1KB,1024,1,0.0012110420000004396,94404,
Knapsack,encrypt,key_bits,16,text_1KB,1024,2,0.0006913330000006823,19076,1536
Knapsack,decrypt,key_bits,16,text_1KB,1024,2,0.001193624999999976,94404,
Knapsack,encrypt,key_bits,16,text_1KB,1024,3,0.0007687500000006509,19076,1536
Knapsack,decrypt,key_bits,16,text_1KB,1024,3,0.0012714579999997255,94404,
Knapsack,encrypt,key_bits,16,text_1KB,1024,4,0.0006747919999998686,19076,1536
Knapsack,decrypt,key_bits,16,text_1KB,1024,4,0.0012059170000000563,94404,
Knapsack,encrypt,key_bits,16,text_1KB,1024,5,0.0006828750000007489,19076,1536
Knapsack,decrypt,key_bits,16,text_1KB,1024,5,0.001228583000000505,94404,
Knapsack,encrypt,key_bits,16,text_1KB,1024,6,0.0006961670000000808,19076,1536
Knapsack,decrypt,key_bits,16,text_1KB,1024,6,0.0012022919999994386,94404,
Knapsack,encrypt,key_bits,16,text_1KB,1024,7,0.0006700419999994267,19076,1536
Knapsack,decrypt,key_bits,16,text_1KB,1024,7,0.0011590420000002766,94404,
Knapsack,encrypt,key_bits,16,text_1KB,1024,8,0.0006799170000002519,19076,1536
Knapsack,decrypt,key_bits,16,text_1KB,1024,8,0.0011834579999998596,94404,
Knapsack,encrypt,key_bits,16,text_1KB,1024,9,0.0006763750000002844,19076,1536
Knapsack,decrypt,key_bits,16,text_1KB,1024,9,0.001177375000000147,94404,
Knapsack,encrypt,key_bits,16,image_50KB,20480,0,0.013284458999999416,372420,30699
Knapsack,decrypt,key_bits,16,image_50KB,20480,0,0.023923000000000805,1965316,
Knapsack,encrypt,key_bits,16,image_50KB,20480,1,0.013349917000000211,372420,30699
Knapsack,decrypt,key_bits,16,image_50KB,20480,1,0.02451550000000058,1965316,
Knapsack,encrypt,key_bits,16,image_50KB,20480,2,0.013131875000000015,372420,30699
Knapsack,decrypt,key_bits,16,image_50KB,20480,2,0.024194417000000357,1965316,
Knapsack,encrypt,key_bits,16,image_50KB,20480,3,0.013413332999999916,372420,30699
Knapsack,decrypt,key_bits,16,image_50KB,20480,3,0.03097695800000011,1965372,
Knapsack,encrypt,key_bits,16,image_50KB,20480,4,0.013935374999999972,372532,30699
Knapsack,decrypt,key_bits,16,image_50KB,20480,4,0.02435395800000073,1965316,
Knapsack,encrypt,key_bits,16,image_50KB,20480,5,0.013373582999999911,372420,30699
Knapsack,decrypt,key_bits,16,image_50KB,20480,5,0.024707207999999703,1965316,
Knapsack,encrypt,key_bits,16,image_50KB,20480,6,0.013228000000000684,372420,30699
Knapsack,decrypt,key_bits,16,image_50KB,20480,6,0.02440679200000062,1965316,
Knapsack,encrypt,key_bits,16,image_50KB,20480,7,0.013181542000000768,372420,30699
Knapsack,decrypt,key_bits,16,image_50KB,20480,7,0.02423641700000001,1965316,
Knapsack,encrypt,key_bits,16,image_50KB,20480,8,0.013267875000000373,372420,30699
Knapsack,decrypt,key_bits,16,image_50KB,20480,8,0.02436041699999958,1965316,
Knapsack,encrypt,key_bits,16,image_50KB,20480,9,0.01342275000000015,372420,30699
Knapsack,decrypt,key_bits,16,image_50KB,20480,9,0.02450545899999934,1965316,
Knapsack,encrypt,key_bits,16,audio_200KB,20480,0,0.0136854590000004,372420,30699
Knapsack,decrypt,key_bits,16,audio_200KB,20480,0,0.024850874999999384,1965316,
Knapsack,encrypt,key_bits,16,audio_200KB,20480,1,0.013414083000000687,372420,30699
Knapsack,decrypt,key_bits,16,audio_200KB,20480,1,0.03082320900000024,1965372,
Knapsack,encrypt,key_bits,16,audio_200KB,20480,2,0.013839750000000706,372532,30699
Knapsack,decrypt,key_bits,16,audio_200KB,20480,2,0.02448462500000037,1965316,
Knapsack,encrypt,key_bits,16,audio_200KB,20480,3,0.01348195799999985,372420,30699
Knapsack,decrypt,key_bits,16,audio_200KB,20480,3,0.024568916000000662,1965316,
Knapsack,encrypt,key_bits,16,audio_200KB,20480,4,0.013493375000000363,372420,30699
Knapsack,decrypt,key_bits,16,audio_200KB,20480,4,0.024451166999999607,1965316,
Knapsack,encrypt,key_bits,16,audio_200KB,20480,5,0.013494541000000027,372420,30699
Knapsack,decrypt,key_bits,16,audio_200KB,20480,5,0.024384333000000424,1965316,
Knapsack,encrypt,key_bits,16,audio_200KB,20480,6,0.013562915999999703,372420,30699
Knapsack,decrypt,key_bits,16,audio_200KB,20480,6,0.02465554199999964,1965316,
Knapsack,encrypt,key_bits,16,audio_200KB,20480,7,0.013385167000000031,372420,30699
Knapsack,decrypt,key_bits,16,audio_200KB,20480,7,0.024342041999999786,1965316,
Knapsack,encrypt,key_bits,16,audio_200KB,20480,8,0.013293167000000494,372420,30699
Knapsack,decrypt,key_bits,16,audio_200KB,20480,8,0.024463041999999824,1965316,
Knapsack,encrypt,key_bits,16,audio_200KB,20480,9,0.013322291999999791,372420,30699
Knapsack,decrypt,key_bits,16,audio_200KB,20480,9,0.024504750000000186,1965316,
Knapsack,encrypt,key_bits,16,video_1MB,20480,0,0.013424957999999876,372392,30686
Knapsack,decrypt,key_bits,16,video_1MB,20480,0,0.03116825000000034,1965372,
Knapsack,encrypt,key_bits,16,video_1MB,20480,1,0.01376699999999964,372504,30686
Knapsack,decrypt,key_bits,16,video_1MB,20480,1,0.02455337499999999,1965316,
Knapsack,encrypt,key_bits,16,video_1MB,20480,2,0.013290458000000172,372392,30686
Knapsack,decrypt,key_bits,16,video_1MB,20480,2,0.024612124999999985,1965316,
Knapsack,encrypt,key_bits,16,video_1MB,20480,3,0.013438958000000056,372392,30686
Knapsack,decrypt,key_bits,16,video_1MB,20480,3,0.024280416999999943,1965316,
Knapsack,encrypt,key_bits,16,video_1MB,20480,4,0.013281749999999981,372392,30686
Knapsack,decrypt,key_bits,16,video_1MB,20480,4,0.02450220800000036,1965316,
Knapsack,encrypt,key_bits,16,video_1MB,20480,5,0.013351541999999661,372392,30686
Knapsack,decrypt,key_bits,16,video_1MB,20480,5,0.024279165999999464,1965316,
Knapsack,encrypt,key_bits,16,video_1MB,20480,6,0.013401540999999462,372392,30686
Knapsack,decrypt,key_bits,16,video_1MB,20480,6,0.024062542000000242,1965316,
Knapsack,encrypt,key_bits,16,video_1MB,20480,7,0.013649417000000774,372392,30686
Knapsack,decrypt,key_bits,16,video_1MB,20480,7,0.024466750000000204,1965316,
Knapsack,encrypt,key_bits,16,video_1MB,20480,8,0.013662166000000475,372392,30686
Knapsack,decrypt,key_bits,16,video_1MB,20480,8,0.0249997500000001,1965316,
Knapsack,encrypt,key_bits,16,video_1MB,20480,9,0.013485916000000486,372392,30686
Knapsack,decrypt,key_bits,16,video_1MB,20480,9,0.03176379199999957,1965372,
Knapsack,keygen,key_bits,32,-,0,0,7.774999999998755e-05,2768,
Knapsack,keygen,key_bits,32,-,0,1,7.45000000001994e-05,2752,
Knapsack,keygen,key_bits,32,-,0,2,5.8208999999642685e-05,2736,
Knapsack,keygen,key_bits,32,-,0,3,6.195799999986207e-05,2768,
Knapsack,keygen,key_bits,32,-,0,4,5.475000000032537e-05,2736,
Knapsack,keygen,key_bits,32,-,0,5,5.8208000000448124e-05,2736,
Knapsack,keygen,key_bits,32,-,0,6,5.591700000007194e-05,2736,
Knapsack,keygen,key_bits,32,-,0,7,5.870800000007392e-05,2768,
Knapsack,keygen,key_bits,32,-,0,8,5.879199999991869e-05,2768,
Knapsack,keygen,key_bits,32,-,0,9,5.4458000000146e-05,2732,
Knapsack,encrypt,key_bits,32,text_1KB,1024,0,0.0006364579999997844,11024,1280
Knapsack,decrypt,key_bits,32,text_1KB,1024,0,0.0015264170000000021,78056,
Knapsack,encrypt,key_bits,32,text_1KB,1024,1,0.0004781249999998849,10912,1280
Knapsack,decrypt,key_bits,32,text_1KB,1024,1,0.0010550829999997902,78056,
Knapsack,encrypt,key_bits,32,text_1KB,1024,2,0.0004555420000000865,10912,1280
Knapsack,decrypt,key_bits,32,text_1KB,1024,2,0.0011025829999997683,78056,
Knapsack,encrypt,key_bits,32,text_1KB,1024,3,0.000429624999999767,10912,1280
Knapsack,decrypt,key_bits,32,text_1KB,1024,3,0.0010302089999996156,78056,
Knapsack,encrypt,key_bits,32,text_1KB,1024,4,0.0004443339999999907,10912,1280
Knapsack,decrypt,key_bits,32,text_1KB,1024,4,0.0010467089999997015,78056,
Knapsack,encrypt,key_bits,32,text_1KB,1024,5,0.00043216699999959474,10912,1280
Knapsack,decrypt,key_bits,32,text_1KB,1024,5,0.001034333999999859,78056,
