algorithm,phase,size_value,input_label,input_size_bytes,mean_time_s,std_time_s,mean_peak_memory_bytes,mean_ciphertext_bytes,throughput_bytes_per_s,expansion_ratio
Knapsack,keygen,8,-,0,2.974179999992721e-05,1.046317482214624e-05,816.8,,,
Knapsack,encrypt,8,text_1KB,1024,0.0013898249999999557,0.00038123304614424703,37217.2,2009,736783.407983043,1.9619140625
Knapsack,decrypt,8,text_1KB,1024,0.001790875000000014,0.0006590185093907538,128717.6,,571787.5340266585,
Knapsack,encrypt,8,image_50KB,20480,0.02352837919999993,0.0006330040281911058,726646.4,40166,870438.1983098973,1.96123046875
Knapsack,decrypt,8,image_50KB,20480,0.030976400100000044,0.003269697018031361,2626579.2,,661148.4851010808,
Knapsack,encrypt,8,audio_200KB,20480,0.023262691600000007,0.0003364676872271208,727178.4,40176,880379.6375824367,1.96171875
Knapsack,decrypt,8,audio_200KB,20480,0.03134975829999993,0.003587387873881831,2626612.8,,653274.5740499073,
Knapsack,encrypt,8,video_1MB,20480,0.02386975429999989,0.0006649535753322926,726797.6,40156,857989.5604539212,1.9607421875
Knapsack,decrypt,8,video_1MB,20480,0.031139941599999953,0.0036232175568513257,2626579.2,,657676.2494634874,
Knapsack,keygen,16,-,0,3.014590000010031e-05,7.3062445270698555e-06,1362.4,,,
Knapsack,encrypt,16,text_1KB,1024,0.0007177460000002966,8.633087480045492e-05,19076,1536,1426688.5499878463,1.5
Knapsack,decrypt,16,text_1KB,1024,0.001280000100000045,0.00023091094387855246,94404,,799999.9374999767,
Knapsack,encrypt,16,image_50KB,20480,0.013358870900000142,0.00021298298284568005,372431.2,30699,1533063.6962738957,1.498974609375
Knapsack,decrypt,16,image_50KB,20480,0.025018012600000184,0.001996399383410405,1965321.6,,818610.188085038,
Knapsack,encrypt,16,audio_200KB,20480,0.013497270800000205,0.00015780894078345063,372431.2,30699,1517343.7877529794,1.498974609375
Knapsack,decrypt,16,audio_200KB,20480,0.025152850100000013,0.001895131515617302,1965321.6,,814221.8443865329,
Knapsack,encrypt,16,video_1MB,20480,0.013475370600000059,0.00015705948850507678,372403.2,30686,1519809.7779960064,1.49833984375
Knapsack,decrypt,16,video_1MB,20480,0.02586883750000002,0.002811506829538609,1965327.2,,791686.1358768048,
Knapsack,keygen,32,-,0,6.132500000006757e-05,7.72065178593794e-06,2750,,,
Knapsack,encrypt,32,text_1KB,1024,0.00047187509999995213,5.705112602468416e-05,10923.2,1280,2170065.7652842966,1.25
Knapsack,decrypt,32,text_1KB,1024,0.001124979399999937,0.0001380363803678515,78056,,910238.8897077204,
Knapsack,encrypt,32,image_50KB,20480,0.008576879099999869,0.0001506472233354282,206240,25600,2387814.9337560693,1.25
Knapsack,decrypt,32,image_50KB,20480,0.021235707999999676,0.0005918079335110796,1635304,,964413.3362542145,
Knapsack,encrypt,32,audio_200KB,20480,0.008646849900000132,0.00017395550578340428,206251.2,25600,2368492.5998310307,1.25
Knapsack,decrypt,32,audio_200KB,20480,0.02168536249999988,0.0021139882731471683,1635309.6,,944415.8473255917,
Knapsack,encrypt,32,video_1MB,20480,0.00850254579999996,5.631530449673494e-05,206240,25600,2408690.3477779673,1.25
Knapsack,decrypt,32,video_1MB,20480,0.02076195829999996,0.0002506254082570307,1635304,,986419.4746985905,
Knapsack,keygen,64,-,0,0.00012114150000011036,6.884994963512842e-06,5804.8,,,
Knapsack,encrypt,64,text_1KB,1024,0.0008146541000001228,3.455633531329407e-05,6712,1152,1256975.1996581685,1.125
Knapsack,decrypt,64,text_1KB,1024,0.0009736917999998874,0.00010792764512559352,69772,,1051667.4783541553,
Knapsack,encrypt,64,image_50KB,20480,0.015497828900000066,0.00024712092264093347,123448,23040,1321475.4229219754,1.125
Knapsack,decrypt,64,image_50KB,20480,0.01946070430000013,0.001946821499804,1470609.6,,1052377.1228567439,
Knapsack,encrypt,64,audio_200KB,20480,0.015515112400000319,0.00015351759153062322,123459.2,23040,1320003.3278521127,1.125
Knapsack,decrypt,64,audio_200KB,20480,0.0189526957,0.0003795070058831583,1470604,,1080585.0694896134,
Knapsack,encrypt,64,video_1MB,20480,0.015398220900000047,0.00020124030282145074,123448,23040,1330023.782163038,1.125
Knapsack,decrypt,64,video_1MB,20480,0.018786791799999668,0.0002881664749131217,1470604,,1090127.5863396944,
Diffie-Hellman,keygen,512,-,0,0.000189849800000097,1.4647740575472117e-05,69.6,,,
Diffie-Hellman,key_exchange,512,-,0,0.00018800819999977846,6.541574875920147e-05,242,,,
Diffie-Hellman,keygen,1024,-,0,0.000975621000000082,1.2646012193128615e-05,72,,,
Diffie-Hellman,key_exchange,1024,-,0,0.000941179200000164,1.3888507938673007e-05,370,,,
Diffie-Hellman,keygen,2048,-,0,0.004573820899999781,3.3559731445271886e-05,72,,,
Diffie-Hellman,key_exchange,2048,-,0,0.004497424899999913,3.735848812651411e-05,626,,,
ElGamal,keygen,512,-,0,0.0007205249000003632,2.1557510215600208e-05,1350.8,,,
ElGamal,encrypt,512,text_1KB,1024,0.026907879299999493,0.00023577020434743193,7491.2,2175.9,38055.76755355891,2.12490234375
ElGamal,decrypt,512,text_1KB,1024,0.017917341500000107,0.00019624235790528585,5472.8,,57151.335760385766,
ElGamal,encrypt,512,image_50KB,20480,0.5121878208999995,0.003892145742432227,72690.3,41725.4,39985.33187300944,2.037373046875
ElGamal,decrypt,512,image_50KB,20480,0.3422637169000005,0.0022262676427690547,37738.2,,59836.90057916264,
ElGamal,encrypt,512,audio_200KB,20480,0.5103909085000005,0.0021626842468859286,69221.2,41724.3,40126.10659580348,2.0373193359375
ElGamal,decrypt,512,audio_200KB,20480,0.3414369833000002,0.0021801173691556154,37730,,59981.78581025434,
ElGamal,encrypt,512,video_1MB,20480,0.5125300250000017,0.005945311427180427,69224.4,41725.9,39958.63461852783,2.0373974609375
ElGamal,decrypt,512,video_1MB,20480,0.34239663749999993,0.0020336260714844782,37730.4,,59813.671505462735,
ElGamal,keygen,1024,-,0,0.002646933199999779,1.795784482281176e-05,1783.2,,,
ElGamal,encrypt,1024,text_1KB,1024,0.05271776660000001,0.000636028402880292,9411.6,2304,19424.19161588685,2.25
ElGamal,decrypt,1024,text_1KB,1024,0.03263107510000083,0.00047387437207299443,7608,,31381.129701116526,
ElGamal,encrypt,1024,image_50KB,20480,0.9339465666000002,0.004667321737512319,60922.8,41470,21928.44937002844,2.02490234375
ElGamal,decrypt,1024,image_50KB,20480,0.5765172542999991,0.0027956030968174436,34011.2,,35523.65492489308,
