algorithm,phase,size_label,size_value,input_label,input_size_bytes,run,time_s,peak_memory_bytes,output_bytes
SHA-256,hash,input_size,500,500B_text,500,0,1.1624999999959584e-05,497,32
SHA-256,hash,input_size,500,500B_text,500,1,1.3750000000811724e-06,97,32
SHA-256,hash,input_size,500,500B_text,500,2,3.91699999990891e-06,97,32
SHA-256,hash,input_size,500,500B_text,500,3,1.2499999999526779e-06,121,32
SHA-256,hash,input_size,500,500B_text,500,4,9.999999996956888e-07,121,32
SHA-256,hash,input_size,500,500B_text,500,5,9.15999999850925e-07,121,32
SHA-256,hash,input_size,500,500B_text,500,6,8.329999996448123e-07,121,32
SHA-256,hash,input_size,500,500B_text,500,7,8.750000000112834e-07,121,32
SHA-256,hash,input_size,500,500B_text,500,8,8.330000000889015e-07,121,32
SHA-256,hash,input_size,500,500B_text,500,9,8.750000000112834e-07,121,32
SHA-256,hash,input_size,1024,1KB_textfile,1024,0,1.0829999999018014e-06,121,32
SHA-256,hash,input_size,1024,1KB_textfile,1024,1,1.1249999998241833e-06,121,32
SHA-256,hash,input_size,1024,1KB_textfile,1024,2,1.0420000000621599e-06,121,32
SHA-256,hash,input_size,1024,1KB_textfile,1024,3,1.0829999999018014e-06,121,32
SHA-256,hash,input_size,1024,1KB_textfile,1024,4,1.0420000000621599e-06,121,32
SHA-256,hash,input_size,1024,1KB_textfile,1024,5,1.0829999999018014e-06,121,32
SHA-256,hash,input_size,1024,1KB_textfile,1024,6,1.0420000000621599e-06,121,32
SHA-256,hash,input_size,1024,1KB_textfile,1024,7,1.0830000003458906e-06,121,32
SHA-256,hash,input_size,1024,1KB_textfile,1024,8,1.0420000000621599e-06,121,32
SHA-256,hash,input_size,1024,1KB_textfile,1024,9,1.0409999999794195e-06,121,32
SHA-256,hash,input_size,10240,10KB_textfile,10240,0,4.45900000034527e-06,121,32
SHA-256,hash,input_size,10240,10KB_textfile,10240,1,4.375000000056417e-06,121,32
SHA-256,hash,input_size,10240,10KB_textfile,10240,2,4.415999999896059e-06,121,32
SHA-256,hash,input_size,10240,10KB_textfile,10240,3,4.375000000056417e-06,121,32
SHA-256,hash,input_size,10240,10KB_textfile,10240,4,4.70800000007543e-06,121,32
SHA-256,hash,input_size,10240,10KB_textfile,10240,5,4.500000000184912e-06,121,32
SHA-256,hash,input_size,10240,10KB_textfile,10240,6,4.45800000026253e-06,121,32
SHA-256,hash,input_size,10240,10KB_textfile,10240,7,4.624999999869317e-06,121,32
SHA-256,hash,input_size,10240,10KB_textfile,10240,8,4.416999999978799e-06,121,32
SHA-256,hash,input_size,10240,10KB_textfile,10240,9,4.416999999978799e-06,121,32
SHA-256,hash,input_size,51200,50KB_binary,51200,0,1.941700000029911e-05,121,32
SHA-256,hash,input_size,51200,50KB_binary,51200,1,1.912500000011974e-05,121,32
SHA-256,hash,input_size,51200,50KB_binary,51200,2,1.9040999999830888e-05,121,32
SHA-256,hash,input_size,51200,50KB_binary,51200,3,1.937499999993264e-05,121,32
SHA-256,hash,input_size,51200,50KB_binary,51200,4,1.908399999983601e-05,121,32
SHA-256,hash,input_size,51200,50KB_binary,51200,5,2.329099999975881e-05,121,32
SHA-256,hash,input_size,51200,50KB_binary,51200,6,1.9041999999913628e-05,121,32
SHA-256,hash,input_size,51200,50KB_binary,51200,7,1.9042000000357717e-05,121,32
SHA-256,hash,input_size,51200,50KB_binary,51200,8,1.9041999999913628e-05,121,32
SHA-256,hash,input_size,51200,50KB_binary,51200,9,2.358299999993818e-05,121,32
SHA-256,hash,input_size,102400,100KB_image,102400,0,4.245799999980093e-05,121,32
SHA-256,hash,input_size,102400,100KB_image,102400,1,3.741699999970649e-05,121,32
SHA-256,hash,input_size,102400,100KB_image,102400,2,4.320800000012781e-05,121,32
SHA-256,hash,input_size,102400,100KB_image,102400,3,4.0208000000152566e-05,121,32
SHA-256,hash,input_size,102400,100KB_image,102400,4,3.741600000006784e-05,121,32
SHA-256,hash,input_size,102400,100KB_image,102400,5,4.3542000000229564e-05,121,32
SHA-256,hash,input_size,102400,100KB_image,102400,6,3.7541000000196334e-05,121,32
SHA-256,hash,input_size,102400,100KB_image,102400,7,3.745799999999022e-05,121,32
SHA-256,hash,input_size,102400,100KB_image,102400,8,3.741700000015058e-05,121,32
SHA-256,hash,input_size,102400,100KB_image,102400,9,4.316600000020543e-05,121,32
SHA-256,hash,input_size,1048576,1MB_pdf,1048576,0,0.00039458299999983737,121,32
SHA-256,hash,input_size,1048576,1MB_pdf,1048576,1,0.00039058300000016644,121,32
SHA-256,hash,input_size,1048576,1MB_pdf,1048576,2,0.000391083999999875,121,32
SHA-256,hash,input_size,1048576,1MB_pdf,1048576,3,0.0004180419999997298,121,32
SHA-256,hash,input_size,1048576,1MB_pdf,1048576,4,0.0004083329999997609,121,32
SHA-256,hash,input_size,1048576,1MB_pdf,1048576,5,0.00041370900000003985,121,32
SHA-256,hash,input_size,1048576,1MB_pdf,1048576,6,0.00041108299999992326,121,32
SHA-256,hash,input_size,1048576,1MB_pdf,1048576,7,0.00040499999999976666,121,32
SHA-256,hash,input_size,1048576,1MB_pdf,1048576,8,0.00043725000000005565,121,32
SHA-256,hash,input_size,1048576,1MB_pdf,1048576,9,0.0004142910000002331,121,32
SHA-256,hash,input_size,5242880,5MB_video,5242880,0,0.00206095800000039,121,32
SHA-256,hash,input_size,5242880,5MB_video,5242880,1,0.0019978749999998158,121,32
SHA-256,hash,input_size,5242880,5MB_video,5242880,2,0.0020619160000001635,121,32
