algorithm,phase,size_value,input_label,input_size_bytes,mean_time_s,std_time_s,mean_peak_memory_bytes,mean_output_bytes,throughput_bytes_per_s,expansion_ratio
SHA-256,hash,500,500B_text,500,2.349899999920524e-06,3.2167440510693575e-06,153.8,32,212775011.7098219,0.064
SHA-256,hash,1024,1KB_textfile,1024,1.0666000000103538e-06,2.7499818126612655e-08,121,32,960060003.7409148,0.03125
SHA-256,hash,10240,10KB_textfile,10240,4.475000000070395e-06,1.0400384607303381e-07,121,32,2288268156.388585,0.003125
SHA-256,hash,51200,50KB_binary,51200,2.0004199999990036e-05,1.7226886427258582e-06,121,32,2559462512.873572,0.000625
SHA-256,hash,102400,100KB_image,102400,3.9983100000062775e-05,2.673425422605333e-06,121,32,2561082057.165133,0.0003125
SHA-256,hash,1048576,1MB_pdf,1048576,0.0004083957999999388,1.3472719330577866e-05,121,32,2567548441.977506,3.0517578125e-05
SHA-256,hash,5242880,5MB_video,5242880,0.002080987300000103,5.1146110297997164e-05,121,32,2519419508.2304153,6.103515625e-06
SHA-256,hash,8388608,8MB_video,8388608,0.002932962399999983,0.00016016374053528902,121,32,2860114401.7393637,3.814697265625e-06
SHA-512,hash,500,500B_text,500,1.9001000000073986e-06,1.1902862218474744e-06,153,64,263144045.04923588,0.128
SHA-512,hash,1024,1KB_textfile,1024,1.8081999999530751e-06,2.762173065214184e-08,153,64,566309036.6256907,0.0625
SHA-512,hash,10240,10KB_textfile,10240,1.1666699999901552e-05,4.935797807161226e-08,153,64,877711777.9737551,0.00625
SHA-512,hash,51200,50KB_binary,51200,5.7266800000066453e-05,2.5836185012678015e-06,153,64,894060782.16245,0.00125
SHA-512,hash,102400,100KB_image,102400,0.00011422920000003778,6.034161728034124e-06,153,64,896443291.2072057,0.000625
SHA-512,hash,1048576,1MB_pdf,1048576,0.0011181291999999398,2.9024763385163343e-05,153,64,937795024.0455722,6.103515625e-05
SHA-512,hash,5242880,5MB_video,5242880,0.005707995899999929,7.026951904565443e-05,153,64,918515025.5626612,1.220703125e-05
SHA-512,hash,8388608,8MB_video,8388608,0.009155316899999821,8.445802782140642e-05,153,64,916255340.1073604,7.62939453125e-06
HMAC-SHA256,mac_gen,500,500B_text,500,6.316800000050194e-06,5.674824187697139e-06,596.3,32,79154002.02571349,0.064
HMAC-SHA256,mac_verify,500,500B_text,500,3.82510000012104e-06,7.64699738369418e-07,394,,130715536.84457351,
HMAC-SHA256,mac_gen,1024,1KB_textfile,1024,3.6790000001118984e-06,4.2895804014064366e-07,394,32,278336504.47644866,0.03125
HMAC-SHA256,mac_verify,1024,1KB_textfile,1024,3.612500000027552e-06,6.464247846475278e-08,394,,283460207.6102948,
HMAC-SHA256,mac_gen,10240,10KB_textfile,10240,6.946000000063179e-06,5.227194277539013e-07,417,32,1474229772.5175438,0.003125
HMAC-SHA256,mac_verify,10240,10KB_textfile,10240,7.466699999891802e-06,1.503668517254923e-06,417,,1371422449.026797,
HMAC-SHA256,mac_gen,51200,50KB_binary,51200,2.098750000003591e-05,2.4388159115589135e-06,417,32,2439547349.6086907,0.000625
HMAC-SHA256,mac_verify,51200,50KB_binary,51200,2.0187699999851817e-05,2.404069052578457e-06,417,,2536197783.8176622,
HMAC-SHA256,mac_gen,102400,100KB_image,102400,3.459990000029833e-05,2.765559127841446e-06,417,32,2959546125.830337,0.0003125
HMAC-SHA256,mac_verify,102400,100KB_image,102400,3.3953800000130484e-05,1.5382540622245766e-06,417,,3015862731.111289,
HMAC-SHA256,mac_gen,1048576,1MB_pdf,1048576,0.0003398248999999076,2.714438694992051e-05,417,32,3085636161.447513,3.0517578125e-05
HMAC-SHA256,mac_verify,1048576,1MB_pdf,1048576,0.00034640850000018376,1.9304339829556853e-05,417,,3026992697.9258413,
HMAC-SHA256,mac_gen,5242880,5MB_video,5242880,0.0015854666999998378,2.318508200114483e-05,417,32,3306837034.1682587,6.103515625e-06
HMAC-SHA256,mac_verify,5242880,5MB_video,5242880,0.0016119833000003859,4.302962870172294e-05,417,,3252440642.5294514,
HMAC-SHA256,mac_gen,8388608,8MB_video,8388608,0.0025571624000002126,2.8875150168165138e-05,417,32,3280436158.454114,3.814697265625e-06
HMAC-SHA256,mac_verify,8388608,8MB_video,8388608,0.002547504199999917,1.9267011614773186e-05,417,,3292873079.4635286,
HMAC-SHA512,mac_gen,500,500B_text,500,4.191499999883774e-06,8.301908515963729e-07,522,64,119289037.34077644,0.128
HMAC-SHA512,mac_verify,500,500B_text,500,4.508299999983478e-06,1.4602219043009835e-06,522,,110906550.14125776,
HMAC-SHA512,mac_gen,1024,1KB_textfile,1024,4.825000000074909e-06,1.3919181729777416e-06,522,64,212227979.27131653,0.0625
HMAC-SHA512,mac_verify,1024,1KB_textfile,1024,4.829399999906059e-06,1.1832112407295678e-06,522,,212034621.28213003,
HMAC-SHA512,mac_gen,10240,10KB_textfile,10240,1.4062300000183826e-05,1.1083211674683799e-06,522,64,728188134.2217233,0.00625
HMAC-SHA512,mac_verify,10240,10KB_textfile,10240,1.4658500000130914e-05,1.8831902851487875e-06,522,,698570795.0955791,
HMAC-SHA512,mac_gen,51200,50KB_binary,51200,5.6541499999962494e-05,2.5660015685655832e-06,522,64,905529566.7789847,0.00125
HMAC-SHA512,mac_verify,51200,50KB_binary,51200,5.72960000001288e-05,3.4546859479073088e-06,522,,893605138.2275361,
HMAC-SHA512,mac_gen,102400,100KB_image,102400,0.00011252080000012654,5.099077481305703e-06,522,64,910053963.3550849,0.000625
HMAC-SHA512,mac_verify,102400,100KB_image,102400,0.00011817510000007303,1.3464431175793497e-05,522,,866510796.2670369,
HMAC-SHA512,mac_gen,1048576,1MB_pdf,1048576,0.0011907831000000258,7.23216020180512e-05,522,64,880576823.772505,6.103515625e-05
HMAC-SHA512,mac_verify,1048576,1MB_pdf,1048576,0.0011559585000000538,2.5014701346348278e-05,522,,907105229.1236676,
HMAC-SHA512,mac_gen,5242880,5MB_video,5242880,0.005734983400000004,9.733045580519478e-05,522,64,914192707.1663357,1.220703125e-05
HMAC-SHA512,mac_verify,5242880,5MB_video,5242880,0.005772879099999973,9.158174568700939e-05,522,,908191546.9180751,
HMAC-SHA512,mac_gen,8388608,8MB_video,8388608,0.009193275000000067,7.551396401458579e-05,522,64,912472214.7439231,7.62939453125e-06
HMAC-SHA512,mac_verify,8388608,8MB_video,8388608,0.009138837400000276,3.978113356654108e-05,522,,917907566.6670408,
RSA-PSS-SHA256,keygen,2048,-,0,0.07482363770000004,0.03229021963670546,131.2,,,
RSA-PSS-SHA256,sign,2048,500B_text,500,0.001155404000000093,0.0005499821292192749,2043.5,256,432749.0643964879,0.512
